disease_name,description,Possible Steps,image_url,index
Apple : Scab,"Apple scab is the most common disease of apple and crabapple trees in Minnesota. Scab is caused by a fungus that infects both leaves and fruit. Scabby fruit are often unfit for eating. Infected leaves show olive-green to brown spots, which are often velvety due to spore production by the fungus. As infection progresses, leaves with multiple spots may turn yellow and drop off prematurely, weakening the tree if this occurs repeatedly over the years. Apple scab can also cause dark, scab-like lesions on the fruit, often making it unappealing or unfit for consumption. Infected fruit may become misshapen or smaller than usual, reducing their market and culinary value. Planting disease-resistant varieties is the best way to manage scab.","Choose resistant varieties when possible. Rake under trees and destroy infected leaves to reduce the number of fungal spores available to start the disease cycle over again next spring. Water in the evening or early morning hours (avoid overhead irrigation) to give the leaves time to dry out before infection can occur. Spread a 3- to 6-inch layer of compost under trees, keeping it away from the trunk, to cover soil and prevent splash dispersal of the fungal spores. For best control, spray liquid copper soap early, two weeks before symptoms normally appear. Alternatively, begin applications when disease first appears, and repeat at 7 to 10 day intervals up to blossom drop.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg,0

Apple : Black Rot,"Black rot is a fungal disease that first manifests in early spring as the leaves of apple trees are unfolding. The initial symptom on leaves appears as small, purple specks on the upper surface, which gradually enlarge into circular lesions ranging from 1/8 to 1/4 inch (3-6 mm) in diameter. The edges of these lesions remain purple while the center turns tan to brown. Over time, secondary enlargement of these spots occurs, leading to heavily infected leaves turning yellow (chlorotic) and eventually falling off. As the infection progresses, concentric rings form within the rotted areas of the fruit, alternating between black and brown. The rotted flesh of the infected fruit remains firm and leathery. Black pycnidia, small spore-producing structures, are often visible on the surface of infected fruit. Black rot can also spread to the wood and branches, leading to cankers, which further weaken the tree.","Remove the cankers by pruning at least 15 inches below the infected area and burn or bury the infected wood to prevent further spread. Take care when performing new season pruning and burn the pruned material to minimize the risk of spreading the fungus. Prune trees during the dormant season to reduce the chances of infection, as the fungus is more likely to infect the tree during the growing season. If bark is damaged by hail or branches break due to windstorms, take preventive measures as the wounds become entry points for infection. To protect against both black rot and fire blight, use a copper-based fungicide, which can help prevent the disease from spreading.","http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg",1

Apple : Cedar rust,"Cedar apple rust (Gymnosporangium juniperi-virginianae) is a fungal disease that requires juniper plants to complete its two-year life cycle. The disease begins when spores overwinter as reddish-brown galls on young twigs of various juniper species. In early spring, when wet weather conditions prevail, these galls swell, and bright orange masses of spores are released and blown by the wind. These spores infect susceptible apple and crabapple trees. The spores that develop on apple trees will only infect junipers in the following year, completing the cycle. From year to year, the disease needs to pass from junipers to apples to junipers, as it cannot spread between apple trees directly. Symptoms on apple trees include yellowish-orange spots on the upper surface of leaves, often accompanied by a rusty appearance on the underside of the leaf. These spots can reduce photosynthesis and weaken the tree over time.","Choose resistant cultivars when available. Rake up and dispose of fallen leaves and other debris from under trees, as these can harbor spores and contribute to the spread of the disease. Remove galls from infected junipers as they are the primary source of spores. In some cases, infected juniper plants may need to be removed entirely. Apply preventative fungicides labeled for use on apples weekly starting with bud break, when spores from the juniper host begin to spread. Fungicide application should cease after the springtime spread of spores, as further applications are unnecessary. For control on junipers, spray with a copper solution (0.5 to 2.0 oz/gallon of water) at least four times between late August and late October. Additionally, SERENADE Garden, a broad-spectrum bio-fungicide, can be used for most fungal and bacterial diseases and is safe for bees and other beneficial insects, making it a good option for organic treatment.","https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg",2

Apple : Healthy,"Healthy apple trees thrive in full sun, which is essential for maximizing fruit production. Apples require at least six or more hours of direct sunlight each day to produce optimal fruit. For best results, apple trees should be planted in locations that offer sunlight from morning to afternoon, such as the north side of a house, a tree line, or a gentle rise. This exposure helps the trees avoid excessive heat that could be present on the south side, which may affect fruit yield. Apple trees also need well-drained soil, but it’s important that the soil retains enough moisture to keep the trees hydrated. Well-balanced soil supports healthy root systems and encourages strong growth. Proper soil conditions can also minimize the risk of disease and promote better overall tree health.","Apples are highly nutritious, providing essential vitamins and antioxidants. They are low in calories and high in fiber, making them an excellent choice for those looking to manage their weight. The soluble fiber in apples, such as pectin, may also help lower cholesterol levels, benefiting heart health. Studies suggest that apples may be linked to a lower risk of type 2 diabetes by improving insulin sensitivity. Additionally, apples may have prebiotic effects, which help nourish the beneficial bacteria in the gut. This can improve digestion and overall gut health. Furthermore, substances in apples, such as flavonoids, have been shown to have cancer-fighting properties, potentially helping to prevent certain types of cancer. Overall, apples offer a variety of health benefits, contributing to a healthy diet and lifestyle.","https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg",3

Blueberry : Healthy,"Blueberries are not only low in calories but also packed with essential nutrients. They are rich in vitamins, especially vitamin C, vitamin K, and some B vitamins, which contribute to overall health and well-being. Blueberries are often considered the king of antioxidant foods due to their high levels of anthocyanins, compounds that help fight oxidative stress and inflammation. These antioxidants play a key role in reducing DNA damage, which may help protect against aging and the development of cancer. Additionally, regular consumption of blueberries is known to protect cholesterol in the blood from oxidative damage, potentially reducing the risk of heart disease. Blueberries are also linked to lowered blood pressure, further supporting cardiovascular health and making them a beneficial fruit for maintaining healthy blood circulation.","Blueberries thrive in acidic soil with a low pH, typically between 4.5 and 5.5. To maintain optimal growing conditions, mulch around blueberry plants with deep, low pH materials like peat moss, pine needles, or well-aged sawdust. This helps conserve moisture and prevents soil fluctuations, which is important for the shallow-rooted blueberry plants. Water the plants regularly during the growing season, aiming for at least 1 inch per week, and up to 4 inches per week during fruit ripening. Be sure the soil remains moist but not soggy, as blueberries require well-draining soil that doesn’t retain excessive water, which can lead to root rot. Avoid planting blueberries in heavy, clayey soils that do not drain well. The right care and conditions will ensure healthy growth and abundant fruit production.","https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg",4

Cherry : Powdery Mildew,"Powdery mildew is a fungal disease that primarily affects cherry trees, and it is often noticed around 7 to 10 days after the first irrigation. The initial symptoms are light, roughly-circular, powdery-looking patches on young, tender, and expanding leaves. These patches are typically white or grayish in color and are most evident on newly unfolded leaves. Older leaves tend to be more resistant to the disease due to age-related resistance, meaning that the infection is more common on younger growth. The disease thrives in high-humidity environments, which is why infections often occur in areas with limited air circulation, such as the interior canopy or crotch of the tree. Powdery mildew differs from other fungi in that it does not require free water for germination, but high humidity encourages fungal growth. As the infection progresses, the leaves may become distorted, curling upwards and becoming twisted. Severely infected leaves may pucker and shrink, causing growth stunting, while newly developed leaves on new shoots may turn pale and become progressively smaller. The disease can spread rapidly by wind, affecting large areas of the tree.","To manage powdery mildew, begin by disinfecting pruning tools before and after each use to prevent cross-contamination between plants. Prune out the affected portions of the tree immediately and discard them to limit the spread of the disease. Apply fungicides to protect healthy leaves, particularly on young growth, and be sure to follow the label instructions for frequency and timing. Fungicide applications may need to be repeated throughout the growing season, as recommended by the manufacturer, to provide continuous protection against the disease. Avoid excessive irrigation during periods of high humidity, as this could encourage further fungal growth. Proper air circulation around the tree is also essential in reducing humidity levels around the canopy and minimizing disease risk.","http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png",5

Cherry : Healthy,"There is no significant difference in care between sour and sweet cherries. Both types require similar growing conditions to thrive. These trees grow best in well-drained, fertile soils, and they require full sunlight to produce high-quality fruit. A key aspect of cherry tree care is the application of mulch around the base of the tree. This helps to retain moisture, regulate soil temperature, and prevent weeds. In areas with dry conditions, it's important to water cherry trees routinely to keep the soil consistently moist but not soggy. Since cherry trees have shallow roots, they are particularly susceptible to drought stress, so regular watering during dry periods is crucial for their survival. During the fruiting season, draping netting over the trees is an effective way to protect the cherries from birds and prevent them from being eaten before they ripen. Thinning of the fruit is typically not necessary in cherry trees, as they naturally thin out in early summer, allowing the remaining fruit to grow larger and of better quality.","Cherries are nutrient-packed fruits that provide a wide array of health benefits. They are rich in antioxidants, including anthocyanins, which help neutralize harmful free radicals in the body, thereby reducing oxidative stress and the risk of chronic diseases. Cherries also contain anti-inflammatory compounds, making them useful for alleviating pain and swelling, particularly for individuals with arthritis or gout. Additionally, cherries have been shown to help boost exercise recovery due to their ability to reduce muscle soreness and inflammation. Consuming cherries regularly can also benefit heart health by reducing inflammation, improving cholesterol levels, and supporting healthy blood circulation. Furthermore, cherries are known to improve sleep quality, as they contain melatonin, a hormone that regulates sleep cycles. Cherries are easy to incorporate into your diet, whether eaten fresh, dried, or in juice form, providing a tasty and nutritious snack.","https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg",6

